GSTIN,Company,Sales,Purchase,ITC,Refund
07EUBNK9223E1Z6,"Reliance Industries",751888,520857,159865,30267
09IDVQI0330O1Z7,"Tata Consultancy Services",1081436,1055672,277974,55407
27MOSPM9274S1Z3,"HDFC Bank",1142134,1073662,164631,58188
29WWXJE4329P1Z5,"ICICI Bank",1427260,1338894,306144,27458
33CZPDS9525X1Z9,"Hindustan Unilever",1468308,1215880,287265,52769
24VVAHP7885H1Z8,"Infosys",1173570,1049266,258407,45664
08YEXQB1700V1Z5,"ITC Limited",748230,606963,92268,36723
03TPOTP7839N1Z0,"State Bank of India",1018775,761825,120166,47196
36OTJOL9029U1Z5,"Bharti Airtel",1099653,940178,156877,48498
32BZPFA7045M1Z3,"Kotak Mahindra Bank",931681,643327,132614,33604
07HNLVS1255O1Z2,"Larsen & Toubro",784668,495103,215776,19674
09KYBTE7327X1Z0,"Bajaj Finance",747162,563494,222361,27221
27XJLGH8317U1Z3,"Asian Paints",917213,570511,124213,18880
29LESDC5559H1Z8,"Axis Bank",1281620,987726,248176,28473
33ONKXB3553C1Z3,"Maruti Suzuki",544245,870792,299334,190485
24VJRQV3368P1Z7,"Sun Pharmaceutical",1410608,1109278,284891,46357
08LOJAF6548G1Z4,"Titan Company",524406,330661,94321,12053
03UKCTI3560P1Z7,"UltraTech Cement",545275,544564,107603,17890
36CRDGJ2167K1Z4,"Wipro",1234982,887461,150324,13910
32AEGPL1967H1Z1,"Nestle India",668110,566545,134016,16169
07QZEGH0054H1Z4,"Mahindra & Mahindra",868316,590252,159042,28883
09RVCFQ8357X1Z2,"JSW Steel",819789,796538,89998,48910
27QBRVQ7177J1Z2,"Tata Steel",1342603,1132786,164267,75823
29SEJON9470E1Z0,"HCL Technologies",1184718,802722,282008,60500
33HSMEU3231O1Z5,"Power Grid Corp",901087,886589,208408,38428
24OFGWN8195V1Z7,"Bajaj Auto",693313,611759,146673,22770
08ZRGTB1877I1Z0,"Tech Mahindra",1031673,635593,282273,15182
03JKGZB4066F1Z4,"NTPC",1451233,1404961,252639,38606
36XCHLD6807G1Z9,"Tata Motors",1068326,685254,235658,44359
32GFNAK8464V1Z4,"Hindalco Industries",992998,724883,171689,34356
07XWAEZ5822M1Z2,"Grasim Industries",876155,864582,236341,26605
09UJJSV0831P1Z5,"Divis Laboratories",508938,361404,98056,9105
27DCSQG8794H1Z2,"Apollo Hospitals",1466065,887589,267373,73547
29YJDHL6534R1Z4,"Eicher Motors",1311048,1208626,366711,54886
33AAIAU9665R1Z7,"Dr. Reddys Laboratories",667738,455684,156721,24321
24CUYXP0773G1Z8,"Britannia Industries",957786,612548,167904,40544
08FLMGZ6087D1Z2,"Cipla",944830,680016,181948,53763
03LYHPV9239P1Z5,"IndusInd Bank",1387733,1339902,278709,49277
36QGGFV9667M1Z3,"Coal India",1384370,1356225,322005,69504
32EHFRJ7818H1Z3,"Godrej Consumer",720077,691609,116927,29833
07FMEEL8761L1Z5,"PVR INOX",892035,576747,171595,10296
09PQCIL8023D1Z2,"Amazon Seller Services",1006327,853773,170969,53956
27IUQRH1182J1Z3,"Google India",1335157,857944,250293,34691
29MRPNC1810G1Z7,"Microsoft India",1093789,876217,113239,20190
33NNDDS0089T1Z1,"Apple India",722917,718171,176902,29805
24VSNHB3799H1Z5,"Samsung India Electronics",1390626,925977,212123,53539
08KWOUW2196E1Z6,"Intel Technology India",582518,508719,97749,18300
03XEXZR9345U1Z6,"Flipkart Internet",1469957,936065,203584,68022
36IWZON0769Z1Z9,"Cisco Systems India",956226,661993,185536,31273
32QEEYS9675K1Z9,"Oracle India Private",1393768,1020786,202266,38499
